Feature,Importance_Mean,Importance_Std,Relative_Impact_Pct
previous_term_score,0.10140093657398756,0.006204554874692404,27.31
reading score,0.07133264858460554,0.0042180713839824946,19.21
verbal_synergy,0.06345200452814094,0.003910887610056128,17.09
verbal_average,0.05830235190606615,0.0036903335633841168,15.7
writing score,0.05682213103988332,0.0037293058014519075,15.3
gender_male,0.0073574457554664695,0.001346784276994624,1.98
reading_squared,0.007144903090745083,0.0011529041892343918,1.92
lunch_x_writing,0.0011060394381435267,0.0003623177333185921,0.3
parental_edu_rank,0.0010568787408574655,0.000252926742595632,0.28
prev_term_squared,0.0008169345534589545,0.0003968435675787854,0.22
prep_x_reading,0.0005343360648674822,0.0005648412280240567,0.14
writing_squared,0.00037685599255643076,0.00018325801577584604,0.1
socio_readiness_index,0.00026213466839821066,6.478492707427443e-05,0.07
attendance_rate,0.00021851522774837261,0.0001866832861352324,0.06
test preparation course_none,0.0002067097801680906,8.480155229908157e-05,0.06
prior_synergy_ratio,0.0002061536159384758,0.00010187955296841179,0.06
parental_involvement_rank,0.0001554928305001857,5.445287145360102e-05,0.04
parental level of education_master's degree,8.587237537124093e-05,3.276680584588528e-05,0.02
race/ethnicity_group E,8.48503528848088e-05,4.735912832676693e-05,0.02
tutoring_support_private_tutor,7.575384043658096e-05,6.011099329249982e-05,0.02
past_failures,6.382972399491482e-05,5.602601721523352e-05,0.02
weekly_study_hours,5.868277847867587e-05,6.758080818210483e-05,0.02
internet_access_yes,3.931023063495687e-05,3.110081484440231e-05,0.01
wellness_lifestyle_score,3.532260910372287e-05,5.749034805613324e-05,0.01
academic_risk_friction,3.221277235363918e-05,6.843119571259e-05,0.01
study_method_passive_reading,2.026013786459613e-05,9.7474916999963e-06,0.01
parental_involvement_low,1.9723680179033476e-05,1.0203603948333385e-05,0.01
parental level of education_bachelor's degree,1.775812015657907e-05,1.5614500836630987e-05,0.0
race/ethnicity_group C,1.7369813944170255e-05,2.5898949029910517e-05,0.0
academic_effort_index,1.652285747839821e-05,0.0003151222163420013,0.0
study_attendance_synergy,8.874076620757343e-06,1.1347042218736875e-05,0.0
parental level of education_high school,8.571502089411708e-06,7.866741213116611e-06,0.0
study_x_attendance,7.176244006075194e-06,1.2428465820609941e-05,0.0
sleep_hours_per_day,5.569620483292237e-06,2.2010255385481105e-05,0.0
race/ethnicity_group D,1.6167103199338229e-06,5.4737482106094075e-05,0.0
study_method_group_study,-1.7443516063142538e-07,7.0708022431736755e-06,0.0
prev_x_study,-2.0546453543612843e-06,3.386579928558338e-06,0.0
study_method_spaced_repetition,-2.165892793393187e-06,6.463756686576083e-06,0.0
extracurricular_activities_yes,-3.67710354350681e-06,3.166136259988802e-05,0.0
parental_involvement_medium,-4.452338755434049e-06,9.185042397216295e-06,0.0
parental level of education_some high school,-7.394088336918347e-06,9.222377393891863e-06,0.0
tutor_x_study,-1.8265596516962025e-05,2.0329889028648274e-05,0.0
tutoring_support_peer_tutoring,-2.536220465331418e-05,5.384910636318355e-05,0.0
parental level of education_some college,-3.0745286387359185e-05,1.9125370026593127e-05,0.0
daily_screen_time_hours,-4.187939480087e-05,2.1717330566151636e-05,0.0
race/ethnicity_group B,-4.305183932142409e-05,5.331406672814633e-05,0.0
prior_reading_differential,-4.6661473751687944e-05,9.972443479621597e-05,0.0
effective_focus_ratio,-9.62807828816059e-05,6.003842117187812e-05,0.0
prior_vs_current_verbal_momentum,-0.00010253963935011879,0.00016249996355325477,0.0
method_x_study,-0.0001430854138123383,8.874886055590689e-05,0.0
verbal_ratio,-0.00017942329261758205,0.00017043420986191286,0.0
lunch_standard,-0.00018716612275470056,0.00016464007260357007,0.0
verbal_differential,-0.00018882407391489496,0.00013018762791753698,0.0
study_method_rank,-0.0001991569802240001,0.00012250181655069702,0.0
