Model,Train R2 Score,Test R2 Score,Test MAE (marks),Test RMSE (marks),Filename
Voting Ensemble Regressor,0.7751,0.7644,5.95,7.56,voting_ensemble_regressor.joblib
Tuned Ridge Regression,0.763,0.7631,5.98,7.58,tuned_ridge_regression.joblib
Tuned Elasticnet,0.7625,0.7614,5.99,7.61,tuned_elasticnet.joblib
Ridge Regression,0.7635,0.7606,6.02,7.62,ridge_regression.joblib
Tuned Lasso Regression,0.7611,0.7604,5.99,7.62,tuned_lasso_regression.joblib
Lasso Regression,0.7611,0.7604,5.99,7.62,lasso_regression.joblib
Stacking Ensemble Regressor,0.7626,0.7603,6.01,7.62,stacking_ensemble_regressor.joblib
Linear Regression,0.7635,0.7602,6.03,7.63,linear_regression.joblib
Tuned Gradient Boosting,0.7897,0.7553,6.07,7.7,tuned_gradient_boosting.joblib
Tuned Random Forest,0.7773,0.7503,6.14,7.78,tuned_random_forest.joblib
Tuned Adaboost,0.7548,0.7441,6.23,7.88,tuned_adaboost.joblib
Random Forest Regressor,0.8919,0.7305,6.41,8.09,random_forest_regressor.joblib
K Neighbors Regressor,0.7835,0.6885,6.97,8.69,k_neighbors_regressor.joblib
Decision Tree Regressor,0.8118,0.6508,7.22,9.2,decision_tree_regressor.joblib
